Image,Class,Mean,Variance,Standard Deviation,Entropy,Skewness,Kurtosis,Contrast,Energy,ASM,Homogeneity,Dissimilarity,Correlation,Coarseness
Image12,1,0.36934973265969134,0.39468845322645435,0.6161435694474556,0.007333786361588986,0.04959193733920388,0.007911008511417326,0.048023627071007394,0.047065846276132195,0.005825824597846361,0.39663954150414066,0.16703050191797192,0.9287904849571613,0.0
Image13,1,0.30501826748755245,0.2788638050436716,0.512796239741969,0.02259046483903874,0.042034769380415955,0.006024187709622461,0.03177326251668984,0.10364225119679142,0.0182205266146623,0.5173242829324007,0.10629966530290665,0.9021936371182258,0.0
Image14,0,0.21343097466478952,0.14111834563382072,0.35570973920071786,0.20562032292378024,0.036917009808948235,0.004639142624862557,0.035275095028449104,0.40034822715807883,0.1796051196809277,0.6781651798564072,0.10577285245741629,0.8825679395321067,0.0
Image15,0,0.15719564157072816,0.14714618005198368,0.363883702690492,0.897315770390144,0.07085604665554582,0.011471481481754968,0.012922360153320914,0.9392125419210171,0.8867163275230129,0.8729859298941309,0.062347199575725945,0.9953288148869861,0.0
Image16,1,0.38283408335864244,0.338875029274439,0.5685595822770404,0.0034359903545096333,0.037364457309082576,0.005234692571441299,0.024107789779130112,0.025957736508231563,0.0027092470061323573,0.3794841581184783,0.16033219478175442,0.965107014999969,0.0
Image17,1,0.4595372850004157,0.3693055604456154,0.5949497560088433,0.009973064617156987,0.02707411065722403,0.003562534287798593,0.029311204602473117,0.05901683462048454,0.007953651205625033,0.41642853660266793,0.16090130837808986,0.9313592388308356,0.0
Image18,0,0.186001674903141,0.15692606960496008,0.3767997212230981,0.3053510870585681,0.05478252939589095,0.007914778952155779,0.027420351544850296,0.5046977541935204,0.27484390038242973,0.6439786158914516,0.13087811894246337,0.959368886336236,0.0
Image19,0,0.16198890146600062,0.11513018153705983,0.3183040542601052,0.28416807540866285,0.05361900745054405,0.0077398175039649604,0.017751791228777666,0.4833910227027972,0.25377052722403565,0.7295957704723597,0.07148220253062432,0.9629509106076695,0.0
Image20,0,0.24893708069904225,0.16256133884056567,0.3840608848127818,0.518268688194872,0.03403770109484521,0.004392123559935286,0.020126430263557392,0.6844778628071266,0.4858960997565038,0.7760815509647618,0.0817288941371676,0.9601119737875208,0.0
Image21,0,0.18880023559077175,0.0999962607466176,0.2945650428878275,0.17549252355663306,0.036947484247118974,0.004750336255888145,0.026528828314302606,0.365848940955617,0.15252252125943044,0.5932085452462412,0.1265804293827501,0.8767207185341994,0.0
Image22,0,0.04226645684363593,0.020274092566339594,0.11703050432638651,0.3332181503358073,0.11580741546546414,0.02416103884833705,0.02460486722021063,0.531128666059569,0.30214550651131333,0.6089493979469061,0.11767724516563767,0.823423323929652,0.0
Image23,0,0.13351094668838523,0.09550803798605831,0.2871876729201112,0.33623564567960984,0.06469112266744001,0.010108680061612689,0.0146061748701397,0.5336605843981059,0.3048282600730596,0.6742997435106555,0.08585491928426484,0.9726315170086934,0.0
Image24,0,0.1964408308255802,0.1338174519884272,0.34557381756384364,0.5182026756762622,0.04430440261191452,0.0060773904340156145,0.02093949781642821,0.6844101322503775,0.48580539558745145,0.7510404141601266,0.08501404381811246,0.9569679677338465,0.0
Image25,0,0.3282630702262978,0.2121069025585734,0.4431684314344105,0.31935597701472124,0.023813436681754,0.002802759214355767,0.02616195320919112,0.5182293829143813,0.2886607951092741,0.650088283692319,0.11384935177766732,0.9460848055061604,0.0
Image26,1,0.22330370043160988,0.2609426474146409,0.4950050410338382,0.0012658440721559669,0.07084939383068653,0.012190243786576307,0.02388571773404314,0.010999225901555172,0.000996718682803018,0.2880113282317723,0.17353426821272364,0.9451508883800241,0.0
Image27,0,0.031386488501145914,0.02168275419906081,0.12193177152203744,1.0,0.16665973573752468,0.04229605983831872,0.0549551986241771,0.9999999999999999,0.9999999999999999,0.8734602103536264,0.13476691682140227,0.7758127771265007,0.0
Image28,0,0.16841059054139887,0.14385385259528494,0.3594402337161836,0.17133677007298545,0.06692835388243892,0.010845015137345131,0.03140362341016445,0.3614533019293803,0.14922906522970977,0.5646076597308607,0.13702531177872443,0.9474351528658844,0.0
Image29,0,0.24452481525450276,0.1902188567900172,0.4180102089282416,0.619480382537839,0.041707313923645066,0.005675816438061758,0.022424617536460117,0.7586058548557661,0.5902248709606641,0.7800750647311154,0.08230527461717023,0.9700147843327622,0.0
Image30,0,0.4758188159723197,0.30475804583932714,0.5375252917537463,0.488050228486621,0.010189027121483445,0.0011266941994963545,0.018711955353368368,0.6611307535630528,0.4551296074020287,0.7483532473098218,0.08655777006276978,0.9776806286559894,0.0
Image31,0,0.12878578725049017,0.072816098808039,0.24693818038788182,0.23428888769393524,0.05427524964831668,0.00794479490582814,0.012345407963313352,0.43227575818198377,0.2066189502405981,0.6710948655296463,0.07579644392615162,0.9526958277058641,0.0
Image32,1,0.3942156023669514,0.2557806158682741,0.48976834822641807,0.06721291223695286,0.03925505535229289,0.006724836554767507,0.025138728578564196,0.20726163676382303,0.05618443946254989,0.5123847314865593,0.121582397059484,0.9454831832843009,0.0
Image33,1,0.44493617882812003,0.2770504154824693,0.5110224108701299,0.09797799896966194,0.037977728339437876,0.006530663231692452,0.029114930100859325,0.2598952887250899,0.08303037117710628,0.5521617277548179,0.11749681068302982,0.9407650186755392,0.0
Image34,1,0.07300875182904935,0.057311361777068484,0.21573378129664642,0.013948640932874096,0.12475741063560525,0.03133448874002716,0.05690973493917183,0.07416130658436687,0.01102737719735011,0.4524110330873042,0.175809798457997,0.555096105319492,0.0
Image35,0,0.05836393252533074,0.022690157399643862,0.12534447225766032,0.34233452198875425,0.0745534203555642,0.012193605653964781,0.005164539058233011,0.5365600934906184,0.30791498372187615,0.7940855811778931,0.03577641311487145,0.9545155592179007,0.0
Image36,0,0.07213264864765366,0.026569134089944876,0.13785325181374664,0.6900006670541832,0.05932845122559265,0.008870740130557143,0.0029625783952145724,0.8051904218716827,0.6609592851657924,0.9376168511710159,0.017154043399330705,0.9792754576245288,0.0
Image37,1,0.14739239667596152,0.07075033657416117,0.2429837507836183,0.04843250438131622,0.045597447721271105,0.0068140073033472305,0.0077844523545050875,0.16755401827964583,0.03930293883090496,0.6373618773137957,0.05430820312919897,0.9242223041678947,0.0
Image38,0,0.09049124356956836,0.04018657117187606,0.17594603578533738,0.3644920858016327,0.056403038605507196,0.008191287253952052,0.009439979164800077,0.555199450816011,0.3281269918554576,0.8837448572240061,0.035930419057314006,0.9357717087627786,0.0
Image39,0,0.23077266410829836,0.06593925695733646,0.23354755522591772,0.19676836493782224,0.009775550384328334,0.0009314590879483226,0.007413295309375782,0.38617421137096075,0.16821334822178013,0.7987679442629823,0.04035377474479432,0.9087388059044508,0.0
Image40,0,0.18689158223130256,0.05900286746410247,0.21932492711593785,0.21533955193006882,0.017107062196335475,0.0017666088362110182,0.007799573831594683,0.40608559278379874,0.18432132922797442,0.8379421302969006,0.03761553233690966,0.9039273340620944,0.0
Image41,0,0.11654795100448184,0.040951112857049186,0.17788177459448007,0.2364086308525603,0.03602844164604609,0.004490042961146409,0.009147852141634811,0.42978700330863073,0.20444585116528147,0.8037042525401992,0.0471124428506549,0.8895490933821399,0.0
Image42,0,0.03133817398746578,0.012673137605518981,0.08721077894208579,0.5137918136569257,0.1162401795078006,0.023445469213908703,0.01816642079034858,0.6778887805495499,0.47711156895535245,0.8499765921348621,0.07567478848644543,0.8172277558153596,0.0
Image43,0,0.2315802066940912,0.18574045766776934,0.41268813034042995,0.5733370523789302,0.04229104575837623,0.005657427341614485,0.0262817797821682,0.7251068365131939,0.5418264216202731,0.8108542495081252,0.07738336069121955,0.9636048398659822,0.0
Image44,0,0.36357637834405454,0.2672043625745401,0.5012885628930245,0.4430691023849229,0.023822097677259298,0.002802773506503203,0.026853078953042064,0.6255082031909055,0.41011825149037046,0.7327274565494732,0.09753883085346343,0.96341395837235,0.0
Image45,0,0.5253688007877579,0.3538549031954347,0.5816919093473519,0.2976155715758339,0.00964017909589137,0.0009685894263024254,0.02283659876664308,0.49737166527595256,0.26750387120606245,0.6707391690817861,0.0926638748240157,0.9711131714882391,0.0
Image46,0,0.6037625502701017,0.3703201099470727,0.5958105525438065,0.293222991016571,0.0036601965688238536,0.00036866026044372197,0.02590905115387417,0.4929438469984545,0.26311548200114016,0.679468062092611,0.09595136349894381,0.9615920576859831,0.0
Image47,0,0.10681188629064171,0.0627477651819932,0.22709984910720796,0.34903406372830836,0.06790339622473668,0.011119568577996362,0.029167786015993197,0.5455422070231496,0.3175751820191642,0.6637689807211078,0.10874044496056333,0.8798521923206,0.0
Image48,0,0.1745267478350499,0.1892923536621227,0.416914316738338,0.279377487264885,0.07108615010866384,0.011431858319695423,0.03798002506302112,0.4794969164620211,0.25000930507357094,0.6320771815045798,0.12829965670361498,0.9627813901406452,0.0
Image49,0,0.19851927519026727,0.19944051753316053,0.4287763891040169,0.46129909381453665,0.059591212804709616,0.008903571620488437,0.03394833556974941,0.6400114680581164,0.42816240770314806,0.7390884350580829,0.0972235102924106,0.9680502397449113,0.0
Image50,0,0.2953153327259512,0.2602624299345976,0.49431795451724764,0.4681966020612598,0.03574653255646824,0.004528117047530789,0.04186117516813376,0.6455697402648232,0.43518023186453775,0.746633325669376,0.10980944720699869,0.9480032668868592,0.0
Image51,0,0.4912440297065258,0.3766239746443684,0.6011329345540538,0.23841933239897473,0.014938104747466631,0.0015322675366110762,0.03848178969368929,0.43731704893148704,0.21105574501676264,0.634436475689593,0.11781858698717655,0.9435101291926591,0.0
Image52,1,0.49962406706974827,0.4832719890466919,0.6852312412983432,0.035421071945693806,0.026324861548928512,0.0032624642300413233,0.03982841076672456,0.13940370143603142,0.02909141166394073,0.44202206604354016,0.1475933494614617,0.9300886321038808,0.0
Image53,1,0.47170057885388855,0.5098869307117222,0.7047274376206859,0.016741020105427856,0.03290817523407346,0.0042665330192963365,0.044721659540876715,0.0853081078555206,0.013559205876730493,0.4098428724002389,0.17296879645395755,0.9340899670763068,0.0
Image54,1,0.4054576994929281,0.46574737132012944,0.6721001019960003,0.012296089050379499,0.03981856207233784,0.005403567756317993,0.033668409585981364,0.06890518472242554,0.009912803070617,0.36463556817843285,0.16401894962483296,0.9487776444460607,0.0
Image55,1,0.180676495219164,0.2710186407594637,0.5050802299464893,0.05500987681123971,0.0885181275704108,0.01577219231039535,0.056117757619112175,0.18359138236495426,0.045772097365621454,0.41595990261385146,0.16136294332379486,0.9411160663812668,0.0
Image56,0,0.11448607161591359,0.07273486746676112,0.24678373351292318,0.34661978599921067,0.06477867090031142,0.009998757903646363,0.011796349963542155,0.5414371721322883,0.31314183775924825,0.7452249140306657,0.06977015844218243,0.9700983724763237,0.0
Image57,1,0.04569126565620331,0.05995708097294664,0.22132848411883208,0.0062152536082927205,0.20320487247968128,0.059800795882963026,0.05645923755483102,0.04147564451988635,0.004920675821693264,0.18812743508380564,0.23901958237427223,0.8320248920418738,0.0
Image58,1,0.11110865704057517,0.12955113981416364,0.33952353907921196,0.12814038390138258,0.10730573738420454,0.02139776474522145,0.05798755449689116,0.3048678481369049,0.11000496587315595,0.4919203177131006,0.16195608520988464,0.9223300344162748,0.0
Image59,1,0.14530612996144063,0.1845158898324948,0.41122179150941707,0.009333037385498394,0.09448140327996743,0.01773856588708984,0.0344670662788096,0.056009908915371304,0.007393550813391294,0.3604489727142072,0.15628663528990042,0.8951005457215855,0.0
Image60,1,0.26685992472138664,0.16567254430534598,0.38801621269730835,0.0074595443053378716,0.03846386734062356,0.005677989810347252,0.010294199067956047,0.04743898043821054,0.005888287361442935,0.4067267506532836,0.10662760712987386,0.9308676922918413,0.0
Image61,0,0.25773262287991344,0.11077982722394966,0.3116471219369679,0.23551270215599718,0.01847584842041155,0.0020468648209025298,0.014559309942854766,0.4335938985671692,0.20777452121846035,0.6731189416317476,0.08141547049056023,0.9238207799306832,0.0
Image62,0,0.08313225292877995,0.04314926939406273,0.1833512542080338,0.4147706646180227,0.07104118180512961,0.011435160268285678,0.02527374710909747,0.601092550999186,0.3806153877141368,0.7368460137289505,0.10942749265369854,0.8628123156326639,0.0
Image63,0,0.12917046280702735,0.10434147724272871,0.30155285591418035,0.22805941313846484,0.07633076703966343,0.012829601809596608,0.024772798344459807,0.42675023071729573,0.20180966994590815,0.5857721654696562,0.12569034234820406,0.9549313863182731,0.0
Image64,0,0.18654233731813055,0.1423545023796364,0.35739992742526844,0.6064603309536465,0.05224113223016292,0.00766961194167652,0.017821453606450512,0.7494445638275686,0.5767838771060423,0.775121804492142,0.07817706155774823,0.975504771680654,0.0
Image65,0,0.5196221344892007,0.32214306145864285,0.5535443258749398,0.15992516912143057,0.011257378638499495,0.0012634677479475267,0.028192779333676494,0.3471428050166987,0.13875299275693762,0.5699673456653678,0.12629207018552455,0.9413538513837305,0.0
Image66,0,0.3051254796941004,0.18964532121998598,0.41733212979454354,0.1858099649337335,0.02559160854008708,0.0030723239222248512,0.04311300331548508,0.3789804378584414,0.1625729945494239,0.5648685869560512,0.15467750199665395,0.8654818025931998,0.0
Image67,0,0.1351812484470337,0.08117313146277462,0.26239784225291407,0.2128705093514997,0.058551039642384194,0.009046062450763368,0.04692116108855863,0.410271363559055,0.1878002943022496,0.558793183218339,0.15688625076172166,0.8035898179167758,0.0
Image68,0,0.2492600977333595,0.291949166679846,0.5254294299514517,0.28138218605641124,0.05449215151200553,0.00777815746953375,0.0638622217697766,0.48120095645210703,0.2516517641740594,0.6872666763075219,0.13051332333763171,0.9403261964014611,0.0
Image69,1,0.03560135464693612,0.05814820055792305,0.21751683807530295,0.08973991225631031,0.27605207172557134,0.09959039582307563,0.35055441468939125,0.24701922167151508,0.07599218961766288,0.36109320678566986,0.5645468956837472,0.7276694303830287,0.0
Image70,0,0.9919894536318729,0.9037614901790142,0.9490432163740595,0.14655787516924657,0.002969007442491685,0.00023478022401442287,0.11355683924862088,0.3297717060257336,0.12654243043139632,0.560444961377141,0.2099027711109879,0.8965191413246805,0.0
Image71,0,0.0892507109135585,0.08922943875945083,0.27657351921578494,0.4972698232104218,0.11356128568736146,0.023478150081650617,0.09953977332280678,0.668889943329678,0.46524334583255766,0.6218955450632948,0.24359328164393584,0.8411711712645036,0.0
Image72,0,0.1472980683397294,0.08829372615513524,0.2749604495709501,0.30649376154490415,0.050297932930058235,0.0071527857326613735,0.01626864316563414,0.5054723005471526,0.2756256897750779,0.7037994473465317,0.08966954833271135,0.946560762370463,0.0
Image73,1,0.3620933528431952,0.30184799666716694,0.5347998148963435,0.007320397793145545,0.04564296669568516,0.007620899700835122,0.02499233534431765,0.04694746650002775,0.005806061291253249,0.4204195742023639,0.15408006975638908,0.9438062053807736,0.0
Image74,0,0.43644202718496794,0.19183123473838457,0.4199110629229748,0.14510996889275246,0.006629964513900757,0.000693178163016818,0.026395275903710515,0.3270089240069629,0.12465155213313683,0.6508083334938832,0.1104653161182692,0.884409982080995,0.0
Image75,0,0.38477080514986667,0.18484876844134285,0.41162086912903917,0.1733023042753277,0.01067618678179199,0.0010883802303054734,0.021389955318811427,0.362758950019225,0.15020361938361415,0.6770305564986232,0.09741434771586606,0.9138404520158212,0.0
Image76,0,0.17511480448726807,0.10109721120558524,0.2963495315122181,0.26479223144743314,0.04051533851053978,0.0053254523420533184,0.02626749164161085,0.4640552582536347,0.2353691242465905,0.702477144067601,0.11732996046588894,0.8955988988246837,0.0
Image77,0,0.2238673697578754,0.29985356055654117,0.5329243101879475,0.3290876830146185,0.07207620236858289,0.011798896064590246,0.05452828411124181,0.5275150754038512,0.2983370612185854,0.61389043492392,0.16311760068896655,0.9708092664432506,0.0
Image78,1,0.21116617431876572,0.38638179748774076,0.609284676287003,0.005085391338020248,0.09274253823276987,0.016819751471714994,0.059070003438527106,0.035627613784542295,0.004035286317426765,0.27272879106482467,0.24960677726592578,0.93225435017029,0.0
Image79,1,0.39549202580455284,0.6606892694443377,0.8066987431501912,0.0021609981665994572,0.05288384168378565,0.007587340401543048,0.044112587367274164,0.01765220938341403,0.0017075787412241079,0.2976226837958914,0.2111310009975115,0.9344108349172977,0.0
Image80,1,0.6275977103521905,0.8191303374929174,0.9019425565620109,0.009821559753426301,0.02736470578379862,0.0032467819779783873,0.05546852279296407,0.05861881925674192,0.007878558045916874,0.34566736555149064,0.22640960462101106,0.9253765144378425,0.0
Image81,1,0.02087739156842718,0.05560214684993296,0.21205180298957235,0.01837310504930588,0.4291505063366547,0.20896387206059366,0.040107452065583034,0.08964658523096343,0.014606400032598417,0.10994090594485068,0.2899407907589227,0.7472200495511587,0.0
Image82,1,0.19564571197187655,0.3075530812562803,0.5401308683887925,0.01272217423513011,0.08299460741393813,0.014003696772612553,0.012560549573131864,0.06956042265601574,0.010048975973463544,0.39520546538042584,0.1132953998368995,0.4853836190689911,0.0
Image83,0,0.07124550214884542,0.07548988675898789,0.2519753537282425,0.41729231531388933,0.13296184642077094,0.02944448833426483,0.11220914052318759,0.6046419781106194,0.3848362677496069,0.6376932461458873,0.23881897692659132,0.8298904901213757,0.0
Image84,0,0.3488846249413342,0.4402568730027792,0.6525519593424083,0.3813490740803421,0.04365965211084632,0.005823739197672766,0.06680560877992944,0.573806497663984,0.3489412164434165,0.6910315539713476,0.14372505097074822,0.95925752391146,0.0
Image85,0,0.4603807183677974,0.5359800639660004,0.7233543285814866,0.49011898806281684,0.029959663372269955,0.0036352116380416483,0.06289082478159154,0.662961109750035,0.4575054122244461,0.7438214860499361,0.12948924015854377,0.9630934193967793,0.0
Image86,1,0.14734500243873289,0.2804554600973961,0.5143484428617463,0.003113771830269331,0.11986174706133218,0.024863639318542848,0.026959647950033538,0.02393516798559331,0.002453635259553914,0.2810169330991603,0.16798685810429514,0.899748652157109,0.0
Image87,1,0.29979753918076985,0.6356512335103425,0.7906416748816054,0.020211504382464503,0.07957479181545904,0.013489372589980227,0.047432932957404,0.09680614051986804,0.016410221779928916,0.3655934236605786,0.20463932732602214,0.98098087095934,0.0
Image88,1,0.2874685955661084,0.5451348355857112,0.7297819278621152,0.020330645078744148,0.07506674522164603,0.012429501594168384,0.07429477597807274,0.09717577521393393,0.016505908789606543,0.3737178772609619,0.19099254562301132,0.9327761464712783,0.0
Image89,1,0.015397605440674379,0.0299852108387644,0.1481593140251634,0.011111948324020541,0.4172439134430762,0.20009389687707568,0.025273962455023075,0.06322762721472577,0.00876594164949054,0.12764660542539213,0.22286271412209652,0.7957745333424193,0.0
Image90,0,0.1850850795578993,0.14145868207372497,0.35617580918354796,0.7043862876527329,0.05313342509233295,0.007840623832184788,0.014041677212034202,0.816863197466761,0.679308610335383,0.8262579581282017,0.0639464119238315,0.9844918539923486,0.0
Image91,0,0.3860771375721282,0.25761964578635754,0.49163995953077394,0.31764970378738727,0.019525167610235962,0.0022116752977039593,0.02957139561822599,0.5166235778592225,0.28700352853306155,0.6714810428074496,0.11078873937401255,0.9461389489832843,0.0
Image92,0,0.5402262039516664,0.33621796634988177,0.5662002262174957,0.18543023919864385,0.009527490434499276,0.0009690420983016717,0.03343223408501736,0.37825869632253095,0.16201235856189422,0.6021247727560968,0.12910419871778356,0.9365240369996171,0.0
Image93,1,0.18309038035025757,0.16129928487937048,0.3824457039876116,0.012499925468379077,0.061662053063477044,0.009694442490100253,0.025155813892761367,0.0688030210342158,0.009891642351260325,0.4163662161893423,0.15566143430757337,0.8501936098466132,0.0
Image94,1,0.044694146121495006,0.057521918300965875,0.2161836116816758,0.015462998012928414,0.1966681281473227,0.054852846138672536,0.029097703874623203,0.08003442845245154,0.012332889185844477,0.3004170346593411,0.18582608968465325,0.9153537316786733,0.0
Image95,1,0.13931467012690643,0.17084716317507614,0.394513940267067,0.11489388862872993,0.09247208630759501,0.016948875988481698,0.03702501529047714,0.2859029188903682,0.0981762527889468,0.504855807963994,0.12526123769327235,0.9582792894093783,0.0
Image96,1,0.07450005981796945,0.09237403032148905,0.28193412062827833,0.1941371869758439,0.14002784261785312,0.031713216897416956,0.0758733889676406,0.3883358407784555,0.1699267913608286,0.5884734363182487,0.1473562321129826,0.9030734895705685,0.0
Image97,0,0.10107350248014497,0.08586477094646917,0.2707333386540083,0.35377587499006197,0.08600076049525357,0.014865755596991059,0.06530524559154366,0.5471556526478892,0.3193261502711901,0.7432630138677883,0.14478493247392363,0.8515843593314112,0.0
Image98,0,0.10614008448137821,0.08908257833789344,0.2763209021119726,0.2597857074442994,0.09052179123462514,0.01649156907800751,0.01693110858366368,0.45953480276676595,0.23116626998574105,0.6309086628589846,0.11004536514844075,0.9780101406560813,0.0
Image99,0,0.16268417032476587,0.13133692524213195,0.3420678990624229,0.604064025308281,0.060225695259264196,0.009100495210723255,0.01423686851934197,0.7475927415637681,0.574085727430258,0.7773356871705297,0.07633316896704469,0.986615888767342,0.0
Image100,0,0.2676955357389363,0.20047236160945897,0.42996551401509575,0.38855891697896777,0.03562126573661912,0.004556356164834511,0.02120496846701857,0.5800575165645954,0.35607661346756886,0.709095422115454,0.10153155407475394,0.9710511088573286,0.0
Image101,0,0.4058400743583365,0.2778757902322464,0.5118304941266415,0.23211311788900985,0.01741716613554923,0.001848732824897831,0.022028273048013566,0.43066118215734656,0.20520785764230604,0.6450638298391533,0.1022467545290746,0.9636679379142441,0.0
Image102,0,0.1240730515446843,0.09718652463944619,0.28996629737758023,0.7083652225652384,0.07929941209704097,0.01365478647258167,0.014553461685820836,0.8195097512573086,0.6835037758961424,0.8192311294047776,0.07600465712959675,0.9780977665383901,0.0
Image103,0,0.34382540515170906,0.229534981736758,0.4622891560898713,0.251270668092332,0.02551000526220886,0.00305764009858694,0.015502214643220028,0.45135658721531413,0.22365813703701656,0.6470291720388477,0.09570282547637785,0.9809763085141388,0.0
Image104,0,0.42245474540552064,0.2690282247970022,0.5031049527822172,0.37825110035495024,0.015579836735646106,0.0017685785491646632,0.015687639630186986,0.5713504290819142,0.3461573331988937,0.6761011612973606,0.09810198986472832,0.9817518179161344,0.0
Image105,0,0.16688799315314354,0.11888647950498098,0.3239523737383873,0.5823475106980555,0.052306619773506556,0.007528158062192018,0.016736435692150067,0.7317147006490595,0.5512098916179952,0.8020827918064919,0.07063789666268568,0.9711322208477631,0.0
Image106,0,0.26236391411980187,0.17047324689219737,0.39404772280549827,0.4503963457739227,0.030862707652983067,0.0038392577173503774,0.01969577959745444,0.6314487075872599,0.41746232481154294,0.7258101224227334,0.08976340744647308,0.9616291088429985,0.0
Image107,0,0.40013205967072474,0.2209981191300465,0.4530169873043648,0.2510525188920393,0.012981963784982446,0.001382187054069119,0.01549300183524639,0.45088046259790443,0.2232248125464156,0.6369331717842062,0.08988412892396594,0.9660789688424347,0.0
Image108,0,0.2079502682605856,0.11732234938658452,0.3216113032444645,0.26481554077560426,0.034537652517647295,0.004357070332861009,0.03014257454233258,0.4647569474779032,0.2360248830458434,0.6156193882295455,0.1348306863857716,0.885393209656308,0.0
Image109,0,0.08130550417345368,0.05065735813335184,0.20107522837149633,0.33938372739874206,0.0861940396550819,0.015294346338619494,0.03856010348555917,0.5366462077558458,0.30800689459181174,0.64495897157263,0.15257963599886745,0.8461760667321712,0.0
Image110,0,0.2090845089864999,0.13128708588048357,0.34199712225788054,0.5737145062655378,0.03915001024035735,0.00531998681301096,0.01884774938310056,0.7257498588804022,0.5427360161061547,0.77174892159826,0.08032662268332717,0.9560059728100367,0.0
Image111,0,0.3774421836319638,0.21951248323888983,0.45138529494987484,0.2973396058209091,0.016315162471223367,0.0018266968572486228,0.021814016381427475,0.4972222198483185,0.26735516865732706,0.6458145742381409,0.10324541130845054,0.9503476204983148,0.0
Image112,0,0.4503888168005662,0.2645967334410876,0.4986808590970843,0.3790845892595245,0.010588381774475776,0.001165086775724143,0.01965954897254631,0.5717575991349451,0.34661808167740704,0.684302417715632,0.09898876686886711,0.9664403122068128,0.0
Image113,1,0.3407613447079514,0.34070405310585095,0.5701783217098446,0.006870926036762235,0.044812081749274986,0.006687687168361415,0.019752997430781044,0.04464122530295388,0.005426179766743194,0.3981110289554988,0.13694331344673047,0.9471297413799444,0.0
Image114,1,0.09409090490783446,0.14280967499887867,0.3580204459962151,0.0366852158141292,0.14101915333021803,0.03228419524199267,0.0737244220745512,0.14234734473356941,0.030090992096074843,0.3631299455586759,0.18484666022508078,0.9001346596744342,0.0
Image115,0,0.18219219053403676,0.18453015345413645,0.41123889904897054,0.2426034166766501,0.06674334262307272,0.010514382027016583,0.03309936100863199,0.4420009690229833,0.21521990609184014,0.6314956497981956,0.1386995559997525,0.9642865571402237,0.0
Image116,0,0.26936261653000604,0.2643573199234147,0.4984407985885581,0.4510476113580638,0.04683050521810416,0.006547068986761159,0.030572736486922106,0.6321124552934367,0.4182869275190487,0.7348044917325514,0.1080394726587346,0.9758899545569384,0.0
Image117,0,0.4112241517351832,0.34528214417439235,0.5742111782365991,0.3573032058117029,0.026030192556420854,0.003200152586734741,0.03377295208908048,0.5531276149353205,0.3258487879297782,0.6591613413813109,0.12892726083701686,0.9645820353832812,0.0
